"Year","fishing_hours","mw_fishinghours","Fishing_category_FO","Lat","Lon"
2010,3.32311129506091,1.92134811874912,"Otter",55.15,3.85
2014,0.00806982256898078,0.337078855068772,"Static",74.45,22.95
2011,1.64294371497184,0.0931230611931578,"Static",67.65,10.35
2014,0.00058820317880839,3.10560055423181,"Otter",57.65,6.05
2010,0.227245994316662,0.438502571712681,"Otter",57.15,4.45
2012,35.6015659017389,7.14224459680477,"Midwater",50.45,-5.65
2013,7.4908597636927,0.00804735110682384,"Static",73.95,28.55
2015,1.25698733985776,0.232149724813622,"Static",42.85,-23.55
2010,23.0310242301835,42.0515565170413,"Static",59.15,-5.45
2010,0.169262003443748,0.558526978413479,"Static",58.75,-8.05
2015,0.457991972033549,0.00116679084103393,"Demersal seine",69.55,15.85
2012,1.0138675754709,0.764434924436859,"Static",50.35,1.35
2011,12.8716647445994,0.216887905589358,"Beam",54.85,7.45
2012,1.40479698445976,0.0820907038447521,"Beam",50.55,-7.05
2013,0.134230602485669,180.595031926615,"Beam",54.05,4.15
2015,0.0614028759129838,0.164236952362762,"Beam",54.75,5.75
2010,0.0354836635919195,3.52066543592985,"Otter",50.35,-6.05
2013,0.00000521999141674092,0.000361861614726474,"Demersal seine",69.35,16.15
2011,0.1132982187206,57.5833862644408,"Midwater",50.65,-5.05
2009,0.155733746185217,4.01164693219801,"Midwater",59.15,21.15
2012,0.292912105920856,0.00174425310794196,"Dredge",49.55,-1.15
2009,0.447025050949504,188.129781603423,"Beam",54.55,7.25
2012,1.39821687852423,26.2452816678794,"Midwater",46.45,-4.75
2012,0.772283760649994,0.0831780973230918,"Demersal seine",56.45,-0.85
2015,0.166743583165169,1.35960322237703,"Midwater",55.35,5.15
2012,185.142407408267,97.5871366193512,"Otter",53.95,-11.55
2012,0.129667376599728,3.27065515059637,"Beam",51.75,2.45
2015,176.71961976297,1.53227610659443,"Static",55.45,19.85
2014,0.334613350134718,0.0902705315255196,"Demersal seine",50.35,0.95
2013,1.34491696589162,0.019218622321349,"Midwater",-19.05,11.75
2014,0.0509397222753004,3.29011331782461,"Midwater",60.75,0.85
2010,2.20162475268985,0.167452879058896,"Otter",57.15,18.95
2013,0.520587192901264,0.0251690356541036,"Beam",51.85,-6.45
2015,0.0658627289328852,11.7943785715209,"Midwater",54.55,0.65
2010,29.4311759195685,0.936184549746478,"Static",53.85,-4.35
